Kategorie,Titel,Eingangsbereich-rollstuhlgerecht,Personenaufzug-rollstuhlgerecht,Personenaufzug-vorhanden,Toilette-rollstuhlgerecht,Strasse,PLZ,Ort,Oeffnungszeiten,Longitude,Latitude,Parkplatz-vorhanden,Parkplatz-vor-Einrichtung-vorhanden,Anzahl-Behindertenparkplaetze-v-Einrichtung,Hauseigener-Parkplatz-vorhanden,Anzahl-Behindertenparkplaetze-auf-hauseigenem-Parkplatz,Ort-hauseigener-Parkplatz,Stufen-bis-Eingang-vorhanden,Anzahl-der-Stufen-bis-Eingang,Hoehe-einer-Stufe-bis-Eingang-cm,Eingang-Handlauf-durchgehend-links-vorhanden,Eingang-Handlauf-durchgehend-rechts-vorhanden,Eingang-Farbliche-Markierung-erste-u-letzte-Stufe-vorhanden,Alternativer-Eingang-fuer-Rollstuhlfahrer-vorhanden,Ort-alternativer-Eingang-fuer-Rollstuhlfahrer,Rampe-vor-Eingang-vorhanden,Laenge-der-Rampe-cm,Hoehe-der-Rampe-cm,Breite-der-Rampe-cm,Rampe-Handlauf-durchgehend-links-vorhanden,Rampe-Handlauf-durchgehend-rechts-vorhanden,Rampe-Farbliche-Markierung-an-Beginn-u-Ende-der-Rampe-vorhanden,Rampe-Steigung,Eingang-Klingel-vorhanden,Eingang-Ort-der-Klingel,Eingang-Klingel-mit-Wechselsprechanlage-vorhanden,Eingang-Hoehe-oberster-Bedienknopf-von-Klingel-cm,Kleinste-Tuerbreite-bis-Erreichen-der-Einrichtung-cm,Tuerart-am-Eingang,Tuerart-am-Eingang-Automatische-Tuer,Tuerart-am-Eingang-Halbautomatische-Tuer,Tuerart-am-Eingang-Drehtuer,Tuerart-am-Eingang-Schiebetuer,Tuerart-am-Eingang-Drehfluegeltuer,Tuerart-am-Eingang-Pendeltuer,Tuerart-am-Eingang-andere-Tuerart,Aufzug-in-der-Einrichtung-vorhanden,Anzahl-der-Stufen-bis-Aufzug-in-der-Einrichtung,Aufzug-Tuerbreite-cm,Stufen-bis-Aufzug-in-der-Einrichtung-vorhanden,Aufzug-Breite-Innenkabine-cm,Aufzug-Tiefe-Innenkabine-cm,Aufzug-Hoehe-oberster-Bedienknopf-in-Innenkabine-cm,Aufzug-Hoehe-oberster-Bedienknopf-außerhalb-cm,Aufzug-Ort-Aufenthaltsort-Aufzugsberechtigter,Aufzug-Wendekreis-bei-Ausstieg,Toilette-in-der-Einrichtung-vorhanden,Toilette-mit-Piktogramm-als-Behindertentoilette-gekennzeichnet,Stufen-bis-Toilette-in-Einrichtung-vorhanden,Anzahl-Stufen-bis-Toilette-in-Einrichtung,Hoehe-der-Stufen-bis-Toilette-in-Einrichtung-cm,Stufen-bis-Toilette:-Handlauf-durchgehend-links-vorhanden,Stufen-bis-Toilette:-Handlauf-durchgehend-rechts-vorhanden,Stufen-bis-Toilette-Farbliche-Markierung-erste-u-letzte-Stufe,Tuerbreite-der-Toilettenkabine-cm,ToilettenTuer-von-außen-entriegelbar,Notklingel-in-Toilettenkabine-vorhanden,Hoehe-Notklingel-in-Toilettenkabine,Bewegungsflaeche-vor-WC-Tiefe-cm,Bewegungsflaeche-vor-WC-Breite-cm,Bewegungsflaeche-links-vom-WC:-Tiefe-cm,Bewegungsflaeche-links-vom-WC:-Breite-cm,Bewegungsflaeche-rechts-vom-WC:-Tiefe-cm,Bewegungsflaeche-rechts-vom-WC:-Breite-cm,Stuetzgriff-neben-WC-vorhanden,Stuetzgriff-neben-WC-links-klappbar,Stuetzgriff-neben-WC-rechts-klappbar,Aktivierung-Amatur-Waschbecken-Toilettenkabine,Aktivierung-Amatur-Waschbecken-Toilettenkabine-mit-Fotozelle,Aktivierung-Amatur-Waschbecken-Toilettenkabine-mit-Hebelarm,Besondere-Hilfestellungen-f-Menschen-m-Hoerbehinderung-vorhanden,Besondere-Hilfestellungen-f-Menschen-m-Seebhind-Blinde-vorhanden,Allgemeine-Hilfestellungen-vor-Ort-vorhanden,Beschreibung-Hilfestellungen-vor-Ort,ID
Bildung,"Alter Johannisfriedhof",fully,false,false,false,"Prager Straße ",04103,Leipzig,"März: 
Di, Mi, Do, Fr  10.00 - 18.00 Uhr
Sa, So  10.00 - 17.00 Uhr

April - September:
Di, Do, Fr  10.00 - 18.00 Uhr
Mi  10.00 - 20.00 Uhr
Sa, So  10.00 - 17.00 Uhr

Oktober:
Di, Mi, Do, Fr  10.00 - 18.00 Uhr
Sa, So  10.00 - 7.00 Uhr

November - Februar:
Di, Mi, Do, Fr, Sa, So  10.00 - 16.00 Uhr",12.3953192,51.3321392,false,false,0,false,0,,false,0,0,false,false,false,false,,false,0,0,0,false,false,false,-,false,,false,0,90,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#SomeDoor,false,false,false,false,true,false,false,false,0,0,false,0,0,0,0,,ausreichend,false,false,true,0,0,false,false,false,0,false,false,"0,00000000e+00",0,0,0,0,0,0,false,false,false,,false,false,false,false,false,"Bitte benutzen Sie den Eingang durch den Innenhof des Grassimuseums.",alter-johannisfriedhof-prager-strasse-04103-leipzig-297d8717
Bildung,"Botanischer Garten der Universität Leipzig",partly,false,false,false,"Linnéstr. 1",04103,Leipzig,"Freiland Zentralgelände: Nov. - Febr: 9 - 16 Uhr
                                        März, April: 9 - 18 Uhr 
                                        Mai-Sept.: 9 - 20 Uhr
                                        Okt.: 9 - 18 Uhr
Apotheker-, Duft- und Tastgarten: 
                 Nov.-Febr.: geschlossen 
                 März, April, Okt.: täglich 9 - 18 Uhr,
                 Mai - Sept.: täglich 9 - 20 Uhr Gewächshäuser: März, Okt.: Di - Fr  13-16 Uhr, 
             Sa, So und Feiertage 10 - 16 Uhr,
            April - Sept.: Di - Fr  13 - 18 Uhr,
            Sa, So und Feiertage 10 - 18 Uhr",12.39259,51.32999,false,false,0,false,0,,false,0,0,false,false,false,false,,false,0,0,0,false,false,false,-,false,,false,0,70,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#SomeDoor,false,false,false,false,true,false,false,false,0,0,false,0,0,0,0,,ausreichend,true,false,false,0,0,false,false,false,65,false,false,"0,00000000e+00",0,0,0,37,0,25,false,false,false,,false,false,false,false,true,"Hilfe für Behinderte durch das Aufsichtspersonal gegeben.
Ältester deutscher Universitätsgarten (1542) mit 9.000 Pflanzenarten der wichtigsten Klimazonen der Welt.
Eintritt Freiland frei,Gewächshäuser gegen Gebühr,  Führungen nach Vereinbarung.",botanischer-garten-der-universitaet-leipzig-linnéstr.-1-04103-leipzig-70a26c00
Bildung,"Duft- und Tastgarten am Botanischen Garten",fully,false,false,false,"Friedenspark - Am Hospitaltor",04103,Leipzig,"Mai bis September 9 - 20 Uhr;
März, April, Oktober  9 - 18 Uhr;
November bis Februar geschlossen",12.3946409,51.3276655,false,false,0,false,0,,false,0,0,false,false,false,false,,false,0,0,0,false,false,false,-,false,,false,0,90,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#SomeDoor,false,false,false,false,false,false,false,false,0,0,false,0,0,0,0,,ausreichend,false,false,true,0,0,false,false,false,0,false,false,"0,00000000e+00",0,0,0,0,0,0,false,false,false,,false,false,false,true,false,"Hochbeete zum besseren Ertasten, Schilder mit Brailleschrift",duft-und-tastgarten-am-botanischen-garten-friedenspark-am-hospitaltor-04103-leipzig-2a394a42
Bildung,"Freizeitpark Lößnig",fully,false,false,false,"Am Silbersee",04279,Leipzig,,12.39773,51.29868,false,false,0,false,0,,false,0,0,false,false,false,false,,false,0,0,0,false,false,false,-,false,,false,0,300,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#SomeDoor,false,false,false,false,false,false,false,false,0,0,false,0,0,0,0,,ausreichend,false,false,true,0,0,false,false,false,0,false,false,"0,00000000e+00",0,0,0,0,0,0,false,false,false,,false,false,false,false,false,,freizeitpark-loessnig-am-silbersee-04279-leipzig-7a890df3
Bildung,"Stadtgarten Connewitz",partly,false,false,false,"Kohrener Str. / Burgstädter Str. - Eingang Kohrener Str.",04277,Leipzig,"1. April bis 30. September:
Mo - Do  9.00 - 18.00 Uhr
Fr  9.00 - 12.00 Uhr
So  15.00 - 18.00 Uhr

Sa und an Feiertagen geschlossen
Im September schließt der garten Di bis Do und So bereits 17 Uhr.
Terminvereinbarungen außerhalb der Öffnungszeiten sind möglich",12.3852865,51.3040498,false,false,0,false,0,,true,6,16,false,false,false,true,,true,700,85,135,false,false,false,12.17,false,,false,0,200,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#SomeDoor,false,false,false,false,true,false,false,false,0,0,false,0,0,0,0,,ausreichend,false,false,true,0,0,false,false,false,0,false,false,"0,00000000e+00",0,0,0,0,0,0,false,false,false,,false,false,false,false,true,"Hilfe durch Rufen anfordern.
Mittwochs jeweils ab 15 Uhr gibt es zu speziellen gärtnerischen Problemen besondere Beratungen (z.B. Kompostwirtschaft in Haus und Garten, Mulchen und Gründüngung).",stadtgarten-connewitz-kohrener-str.-_-burgstaedter-str.-eingang-kohrener-str.-04277-leipzig-9caf8e4d
Bildung,Völkerschlachtdenkmal,fully,partly,true,fully,"Straße des 18. Oktober 100",04299,Leipzig,"April bis Oktober täglich    10 - 18 Uhr; 
November bis März täglich 10 - 16 Uhr",12.3943653,51.3222147,true,true,2,false,0,,false,100,20,false,false,false,true,"Lift zur Krypta;",false,0,0,0,false,false,false,-,false,,false,0,95,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#SomeDoor,false,false,false,false,true,false,false,true,0,119,false,170,170,86,86,,ausreichend,true,true,false,0,0,false,false,false,106,true,true,"0,00000000e+00",170,190,70,103,70,127,true,true,true,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#LeverArm,false,true,false,true,true,"barrierefreier Zugang zum Denkmal links vom Hauptzugang gegenüber der Parkgaststätte;  Dauerausstellung  im Museum ""Forum 1813"" für Rollstuhlfahrer zugängig (s.a. ""Forum 1813""); Lift (zur Krypta) und Beh.-WC, Tastmodell und Audioguide für Blinde",voelkerschlachtdenkmal-strasse-des-18.-oktober-100-04299-leipzig-e1f70570
Bildung,"Volkspark Kleinzschocher",fully,false,false,false,Küchenholzwiese,04249,Leipzig,,12.2965373,51.2789889,false,false,0,false,0,,false,0,0,false,false,false,false,,false,0,0,0,false,false,false,-,false,,false,0,120,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#SomeDoor,false,false,false,false,false,false,false,false,0,0,false,0,0,0,0,,ausreichend,false,false,true,0,0,false,false,false,0,false,false,"0,00000000e+00",0,0,0,0,0,0,false,false,false,,false,false,false,false,false,,volkspark-kleinzschocher-kuechenholzwiese-04249-leipzig-7a890df3
Bildung,"Wildpark der Stadt Leipzig",fully,false,false,fully,"Koburger Straße 12a",04277,Leipzig,"innerer Gehegebereich:
16. März bis 31. Oktober: 9 - 19 Uhr
01. November bis 15. März: 9 - 17 Uhr",12.372148,51.2978292,true,true,2,false,0,,false,0,0,false,false,false,true,,true,350,10,200,false,false,false,2.86,false,,false,0,100,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#SomeDoor,false,false,false,false,true,false,false,false,0,0,false,0,0,0,0,,ausreichend,true,true,false,0,0,false,false,false,95,true,true,"0,00000000e+00",200,270,70,170,70,110,true,true,true,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#LeverArm,false,true,false,true,true,"Behindertentoilette  mit Euroschlüssel am Wirtschaftshof neben der Wildparkausstellung; barrierefreier Erlebnispfad durch das Wildgehege - Rollstuhlfahrer bitte anmelden (0152 22 98 92 01oder langfristig 30 94 10)",wildpark-der-stadt-leipzig-koburger-strasse-12a-04277-leipzig-ab672217
Bildung,"Zoologischer Garten Leipzig (GmbH)",fully,partly,true,fully,"Pfaffendorfer Str. 29",04105,Leipzig,"Januar bis März:      9.00 -17.00 Uhr, 
April:                           9.00 -18.00 Uhr (am Wochenende und feiertags bis 19 Uhr), 
Mai bis September: 9.00 -19.00 Uhr, 
Oktober:                     9.00 -18.00 Uhr, 
Nov. und Dez.:           9.00 -17.00 Uhr, 
Tierhäuser schließen 30 Minuten eher",12.3689185,51.3516682,true,true,4,false,0,,false,0,0,false,false,false,false,,false,0,0,0,false,false,false,-,false,,false,0,250,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#SomeDoor,false,false,false,false,true,false,false,false,0,0,false,0,0,0,0,,ausreichend,true,true,false,0,0,false,false,false,97,true,false,"0,00000000e+00",150,150,80,100,80,100,true,true,true,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#LeverArm,false,true,false,true,true,"10 gegen Kaution ausleihbare Rollstühle (b. anmelden), Lift für Behinderte im Aquarium; 
WC-Angaben vom Pongoland. Weitere Behinderten-WC am Eingang, an alter Bärenanlage, in Hacienda Las Casas, an Afrika-Savanne, Blindengerechte Führungen, Godwanaland",zoologischer-garten-leipzig-gmbh-pfaffendorfer-str.-29-04105-leipzig-83ca6476
Bildung,"Europa - Haus Leipzig e.V.",partly,false,true,false,"Markt 10 / Handwerkerpassage",04109,Leipzig,,12.3747969,51.3406295,false,false,1,false,0,,false,27,19,true,false,false,true,"mit dem Aufzug",false,0,0,0,false,false,false,-,false,,false,0,80,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#SomeDoor,false,false,false,false,true,false,false,true,0,89,false,110,130,100,115,,ausreichend,true,false,false,,,false,false,false,57,false,false,"0,00000000e+00",95,80,60,27,60,23,false,false,false,https://github.com/AKSW/leds-asp-f-ontologies/raw/master/ontologies/building/ontology.ttl#LeverArm,false,true,false,false,true,,europa-haus-leipzig-e.v.-markt-10-_-handwerkerpassage-04109-leipzig-362f77fa
